essay_id_comp,gender,y_true,y_pred_bert
95D641A74BF1,M,3.0,3.1074219
A2062CD12236,M,2.0,2.3945312
2676A4459B59,M,4.0,3.7226562
5341BDD4026A,F,3.0,2.6542969
FBABC3FB451D,M,3.0,3.9296875
4A78B7E0CD23,M,5.0,5.1796875
B93581E854BD,M,2.0,1.7363281
6D7E6399624E,F,2.0,3.7285156
730D11B13BA1,M,3.0,3.046875
B3C2E6274311,M,2.0,1.6806641
9DB0CD72C72A,F,5.0,5.1601562
547FAEEA4126,F,3.0,2.7695312
83D3DB30ED2D,F,3.0,3.4511719
2C0247A6398B,F,3.0,2.0859375
315B09492FB4,M,2.0,1.8701172
49FAAE286911,M,2.0,1.8339844
9638A0515968,M,3.0,3.4785156
7D0DC6F08EB2,F,3.0,3.578125
6CCD1AE680E2,M,2.0,2.046875
F048B3381F8C,M,2.0,2.5683594
EFE5284CED33,M,2.0,2.0039062
43E8315FA921,M,2.0,2.2246094
DC5BBE514ECE,M,3.0,2.4902344
4C711F8D8B7E,M,3.0,2.2617188
FD4BFFA3443A,M,4.0,3.4746094
323F31110886,M,3.0,3.0429688
8F2DE1AB0229,F,2.0,1.9257812
FF53FACA31BF,M,2.0,3.4785156
37B8AD6E4D9B,M,1.0,1.5791016
55792E29E3A0,M,1.0,1.8662109
BB7C74DD634F,M,2.0,3.2265625
5E98AE1FEA8E,F,2.0,1.9619141
949F1FCAE7A6,M,2.0,1.5849609
9788FF5FBA3B,M,2.0,2.4863281
B1107C007404,F,5.0,5.0742188
2C4BB3ACA451,M,1.0,1.4941406
634848B2D08C,F,4.0,3.9882812
0771C85FC76B,M,5.0,4.9960938
803A47175851,F,4.0,5.015625
360FD9AE286D,M,3.0,2.8105469
F4423D1F297D,F,2.0,2.2519531
5787997A234A,F,2.0,2.4140625
B27DD0B12E19,F,3.0,3.3164062
FD0934F5261D,M,2.0,2.3417969
9D99F8F1CAAB,F,2.0,2.0234375
A84FCF650361,F,2.0,1.7890625
D836FB30A868,F,3.0,2.9921875
3A961F5287CD,M,3.0,3.640625
2E9B5CD4716D,M,2.0,2.484375
1C51F32A0689,F,4.0,4.5742188
F3E8A109AE05,M,3.0,3.546875
5FBF192B844B,F,2.0,2.0234375
95570A90AED0,F,3.0,2.6171875
CD89EA33A415,F,3.0,2.6757812
A68B13F7EB65,F,3.0,3.6171875
85BB61E8083B,M,2.0,1.1865234
CFC1F5729C6D,M,3.0,2.6484375
C275B257FC61,M,3.0,3.2558594
D692F0AACADA,F,2.0,2.2324219
445FC339B11B,M,3.0,2.2304688
F62004E3EBAC,F,2.0,2.0273438
E60EB5C35194,M,2.0,2.6347656
20D81D1BE1A6,F,5.0,4.9335938
A0DEA37279E9,F,2.0,1.6269531
6E381D4CCEDA,F,3.0,2.8261719
1B4BA44BD3E9,M,1.0,1.5341797
DF44B7B148CC,F,4.0,4.4492188
16DC754413F0,F,1.0,1.6064453
308AD9A4728D,F,2.0,1.6386719
BF86E37ABB2A,F,4.0,3.7578125
89EE36DCF117,M,1.0,1.375
D1BE0D3E0D4E,F,3.0,3.2050781
8AF1FB2ADE27,M,6.0,4.7578125
E8E139957D4D,M,1.0,1.8466797
B7570BF5EB0B,F,3.0,2.7558594
E55AEC795109,M,2.0,2.3398438
C0217B05422D,M,3.0,2.9667969
8E0FEEC3DF47,M,3.0,3.3066406
3CBB3DCDB8EE,F,3.0,2.0566406
40E7A7FDF48D,M,1.0,1.5625
B3BC549D8BD0,F,3.0,3.6757812
8A2B79514820,M,3.0,3.0859375
3FA488B75FCB,F,2.0,1.6054688
573A550002C0,F,2.0,3.0019531
E494B619E3EF,F,4.0,4.1757812
6B3EC7DF8173,F,3.0,3.4980469
BB04B818FF32,F,2.0,1.6455078
D13AD797DE2D,F,3.0,3.0351562
32882A8AE673,F,3.0,3.2148438
98C855AF1F41,F,4.0,3.9433594
A13E656A0ED5,F,2.0,1.5371094
DAE40486EC15,M,2.0,2.2597656
99297BB401FC,F,5.0,5.265625
32DCF7DED3F8,F,4.0,3.6855469
771A8A8F8892,M,6.0,5.1601562
72C8E2CDEA69,F,6.0,5.21875
016A837B94F5,M,3.0,3.2675781
E465837431CB,M,4.0,5.0039062
DA5E92093978,F,3.0,2.9960938
EA2BAEFCE4F2,M,2.0,1.9765625
EC1D57A4E008,F,4.0,4.1914062
D7F4D3366332,M,6.0,4.7578125
5F66710B5017,M,1.0,2.1816406
C38708C405C6,M,3.0,2.9355469
F9FFECDE9A53,F,2.0,2.6621094
069AFB1CF407,M,3.0,2.3867188
0ACB0E08934E,M,3.0,2.7109375
9A2549F2EEC1,F,5.0,4.6171875
C3AD2ABD5D03,F,2.0,2.3808594
20E8EF3807D2,F,3.0,2.7949219
236F050055D6,M,3.0,4.0078125
5109921E29E0,M,2.0,2.8808594
121DCFFBC671,M,5.0,4.7890625
747B06CF4DA3,F,3.0,2.6855469
11F4FD622FD8,F,5.0,4.0390625
A8221073323E,F,3.0,3.1757812
AE11AA4423C1,M,3.0,3.3066406
10D7E30AD1AC,M,3.0,3.7675781
2450993EB016,F,1.0,1.2421875
5A860EDF839D,F,3.0,2.4804688
29DEA3E5DA18,M,4.0,3.1464844
20D57DEC3EF5,M,1.0,1.8251953
CCC749859F5C,M,6.0,5.3359375
E62E4E083245,M,3.0,3.6054688
09D40BD05847,M,2.0,1.8652344
E216387074D3,F,5.0,4.4804688
3AED5A7D58F8,M,3.0,2.5527344
F34AEA4F0678,M,4.0,4.0703125
B4FCF8DD1F69,M,3.0,3.4863281
3EF3E5B52108,F,3.0,3.0097656
42320FFF7304,F,3.0,3.5859375
C2E4971F69E9,F,4.0,3.7890625
CD53C96A70EB,F,2.0,2.2558594
84DDA9460E91,M,1.0,0.9946289
82ED6087717D,M,3.0,2.9667969
81F515606B77,M,4.0,3.7207031
FC27ECB471A4,M,2.0,2.3886719
4AF98AC12423,M,3.0,4.8203125
02D6A23E0CEB,M,2.0,2.5214844
57280EFE34F4,M,2.0,2.1582031
1DC7F82830D6,F,3.0,3.609375
7BF2EA4A164C,M,5.0,5.125
28220DC55DA8,F,3.0,3.4804688
FE9AB60822CA,M,3.0,2.7558594
1F742C41EF9D,M,4.0,4.5039062
58B7F73691D2,M,3.0,3.0585938
73698CA22462,F,2.0,2.4355469
B3C454E2E3E0,F,3.0,2.6308594
F86F94DCEB33,M,2.0,1.9072266
23701C1FBDD2,M,2.0,2.1582031
0E8E64439570,F,3.0,2.8398438
678247627A95,F,3.0,3.4570312
1D549C77CB16,M,5.0,5.15625
01B33F504006,F,3.0,3.6132812
1ADE56C19ACC,M,3.0,1.8486328
453782F3E15C,M,2.0,1.7441406
4AE962B7BDAA,F,3.0,2.609375
BDDE34DAF883,F,4.0,3.6152344
4A2B8999223F,M,3.0,2.3164062
B9B5EC82396D,F,3.0,2.6914062
BE8615F85409,M,4.0,3.8535156
CE15197AE9CC,F,4.0,4.3164062
A803172BF35E,F,2.0,2.1875
9F9C9D1E2F5C,M,5.0,3.8457031
4BB49667767A,M,3.0,2.296875
20E320AA966E,F,4.0,3.8710938
0C44D7D7F0FD,F,3.0,2.7792969
8458F0287115,M,4.0,3.4980469
AB8D8AED4B28,F,3.0,3.3691406
2771AA5E572D,F,4.0,5.0429688
84F179DFCFC9,M,3.0,3.2382812
426E5A215942,F,4.0,4.6484375
887BBBE0CCC5,F,1.0,1.0703125
8AB79B5BD3DB,M,2.0,2.3085938
76BB36EE4398,F,5.0,5.2460938
B4F3E5D8D7D2,M,3.0,2.8984375
D19AB551E2B9,F,1.0,2.6132812
50903131CDBF,F,2.0,2.5820312
2A4FCD86BA0D,F,4.0,3.6796875
B980560F68EA,F,2.0,1.3457031
8DFB375E3159,F,3.0,3.2070312
26077CB12CB0,M,5.0,4.8789062
8C93D556C297,F,4.0,3.8261719
5DA51172F93D,F,4.0,4.2695312
FF89B80BC4D1,M,4.0,3.4628906
7B1E55213D00,M,4.0,3.8613281
59A4AD465412,F,3.0,3.5546875
440A223D41D5,F,3.0,2.7480469
5AF04068D0B9,F,3.0,2.6191406
51A07E3D2C09,F,2.0,2.5410156
043BB809B52A,M,4.0,3.9824219
53EAE8EA05E8,F,3.0,3.125
78053022305D,M,2.0,2.4394531
5E75A1B48D17,F,2.0,2.1640625
7915BE25917E,M,2.0,2.3632812
F0F0CD67E436,M,2.0,1.6855469
3936CD2D8CF3,F,2.0,2.0976562
E21ABDF1E3F2,F,4.0,3.9121094
8F0F9D00B973,M,5.0,4.6992188
35B8D5BA3032,M,1.0,1.3671875
66D1803B4CEF,M,3.0,2.6933594
7929B0DC839B,F,4.0,4.53125
E4F9AEC51ECF,M,3.0,3.1210938
2F53346B4F60,M,4.0,3.0390625
8A533A6E8808,M,3.0,2.71875
7654EDDCC0DA,F,3.0,2.8964844
17759DF663A3,F,3.0,3.0488281
0AB5C0C20670,M,1.0,0.80908203
E201F3FE28F7,F,4.0,4.2304688
21D91DF16B23,F,3.0,3.0566406
95143E5A37A2,M,2.0,2.1777344
7DCCED5150F8,M,5.0,4.640625
CB86688CF491,M,1.0,1.4785156
B5CE3C6DAAD9,M,4.0,3.1601562
996A88D0CAF2,M,3.0,3.1074219
CE33B0E35C38,F,3.0,3.0292969
F304843E97FC,F,2.0,2.1855469
4B4A4368C5DF,F,3.0,2.5546875
39AF0292F9B3,F,5.0,5.296875
DDEEC49D2390,M,2.0,3.2734375
353224899C05,M,4.0,3.5898438
ABA8A01BB2B6,M,3.0,2.7109375
629441708CF0,F,5.0,5.1289062
68F6A6DB3E6C,M,2.0,2.0898438
5C63C1EE83BC,M,4.0,2.8339844
CF20C9C05B19,M,2.0,3.0996094
DCCF6739067A,M,4.0,4.7460938
F280DC36C974,F,2.0,1.8554688
675CA464322A,M,3.0,3.4570312
ADFF10967768,M,4.0,4.640625
BB7A76089910,F,4.0,3.9082031
3A42F1C7A5FA,M,2.0,2.3222656
8459600E47B0,F,4.0,4.2539062
2CD086E87F2D,F,3.0,3.4121094
D84737B6CDEB,F,2.0,2.7148438
026FBC564EBC,M,3.0,3.1621094
4DB817B0DE25,F,5.0,4.3046875
D7E3E2DE0F87,M,3.0,2.6796875
75B94E37D75A,F,4.0,3.5722656
13E5109D10F2,M,5.0,4.8632812
CF5875628D6A,M,2.0,1.9443359
93E4D5E8B5DA,F,3.0,2.6386719
0EFC10AF9D22,F,2.0,2.0546875
BB95D06EF8D4,F,4.0,3.4277344
5A490FAF2476,M,1.0,2.8457031
6C8029E04B6B,F,3.0,2.5839844
5A1EAD973EF6,M,3.0,2.5996094
04F6650C12AD,F,2.0,2.4960938
FD8570E71F4A,M,2.0,2.1328125
1102C9C87AE4,F,6.0,4.6289062
7154C7EE3051,M,4.0,4.03125
BE9881C4920A,M,1.0,1.5947266
F324DBEBCAFA,M,3.0,2.9160156
F13486021395,M,2.0,2.0429688
C6FAF1DE9A21,M,1.0,2.1015625
0F8513BFBB6C,M,3.0,3.5585938
7AA2C0834BE1,M,4.0,4.2148438
9483857CAA80,F,3.0,2.4882812
B0FD1E688820,M,1.0,1.0566406
6AD39619EC45,F,5.0,5.0117188
AA742085CBE3,F,2.0,2.8046875
58E92DF92D8C,F,3.0,3.2675781
9251250050B9,M,3.0,3.0820312
D8AFB0AE804B,F,1.0,1.1455078
03FCE3C04ADF,M,4.0,3.6484375
0C710606DB95,M,3.0,2.6210938
045BB2364215,M,3.0,3.4414062
4E13DC4DDE31,F,2.0,2.4433594
2C3D6DFE6768,M,3.0,2.71875
716C24478063,F,3.0,3.3535156
1B2470F552CC,F,2.0,1.8583984
3FD3D46D72B7,M,2.0,2.7207031
13B371557529,F,4.0,4.5078125
84E06630FA2B,M,3.0,2.8769531
FEB37659C3F1,M,3.0,2.7382812
2410D609BA60,M,2.0,1.9121094
E97D24AC0CB6,M,3.0,3.6816406
C0E8831116C3,M,6.0,4.9609375
726ADA01701F,M,3.0,2.7578125
B0A08E744DF1,F,3.0,2.9082031
14236F6FEAD6,F,3.0,2.6152344
477F24CDDE0B,F,4.0,4.7304688
1C2F6CE45E18,M,4.0,3.4648438
E4B4D7DE60E3,F,3.0,2.6796875
B4143F38D439,M,3.0,2.9609375
6194CD3215CB,M,2.0,2.2050781
2EEB19BB460B,M,3.0,2.9199219
13081A20D022,F,6.0,5.1992188
016A5550CAF7,F,3.0,4.25
7B7838BB9DD5,M,3.0,3.0097656
06E5ACD7F079,M,4.0,3.6542969
DC9580266A0B,M,3.0,2.7597656
E1AEAF1C9CBB,F,4.0,4.5390625
7F513E5DA945,M,3.0,2.8828125
06B8BE0A0B31,M,2.0,1.7441406
35070B805E8B,M,1.0,1.6767578
BFFD798EAE7B,F,4.0,5.0625
34CD62D72CC1,M,3.0,3.5039062
F7EF0A4E3499,M,3.0,3.046875
80D0A3C7B588,M,3.0,3.2207031
B2E85935CE19,F,2.0,2.3261719
D7725D157042,F,3.0,2.828125
02F012AAD5CB,F,3.0,3.0722656
D7DF114BB271,M,4.0,3.3730469
C30DD2DB1F70,F,2.0,1.9130859
280BCD5968F0,F,3.0,3.0820312
4FC744EC5BDB,M,2.0,2.125
A1C8EEF8BF9C,F,2.0,1.6298828
EF70A0E7826B,M,2.0,1.9726562
BD300B07564D,M,2.0,2.4140625
99DE2E3E96E7,F,4.0,3.6464844
A4B3BA20BDA9,F,4.0,3.7792969
C36FC4CCA47F,M,3.0,3.2441406
4BE3EE3D73A6,M,3.0,4.1875
8DFC6529608B,F,3.0,3.7519531
6A58F94673E0,M,6.0,3.9863281
B07E96B9767C,F,5.0,5.1445312
320FD601DD64,M,1.0,1.8369141
2AB363264AE0,F,2.0,2.2773438
D2E41252A109,M,4.0,3.5253906
2FD5E4852667,F,2.0,1.6289062
1499841F4EB8,F,3.0,3.4335938
7DE7AE0BEF8C,F,3.0,3.09375
86A3A166AA67,F,2.0,2.40625
E8DD7458130E,M,3.0,2.6425781
67D94C292D8D,F,2.0,2.1152344
4AEA13D034F3,M,2.0,2.4511719
A1A778253D39,M,4.0,3.5449219
A56E412B7295,M,3.0,3.2421875
8E7C4FE2ECE9,M,2.0,2.2851562
508DB90F68C7,M,3.0,2.9707031
172FD130ABD5,F,1.0,1.265625
E627C066A0F1,M,1.0,1.3583984
8E516CABD84A,M,4.0,3.7480469
BAE3CED482E7,F,4.0,4.8085938
D6EEEBA9A999,F,5.0,4.7734375
8BA7D8704DB0,F,3.0,3.171875
253D33164BE5,F,3.0,2.96875
897B3478DC01,M,4.0,3.6425781
25FA01853A35,F,2.0,2.5839844
00E2ACFF9A93,M,2.0,2.734375
1A26AFD79998,M,2.0,2.0449219
FDDD74678C7A,M,2.0,2.0585938
1CC9DABCE4B4,F,5.0,5.2460938
D354672BB38F,M,1.0,1.7783203
6524B17E5113,M,4.0,4.2460938
508DCB180063,F,2.0,1.7949219
0ABF4F99E166,M,5.0,5.1054688
86ADA132EC8A,M,2.0,2.2753906
771C64337FED,M,3.0,2.7011719
E3E4C29C6F23,F,4.0,4.8515625
7C9AA3346458,M,2.0,2.3261719
FB9EFC545072,M,1.0,2.078125
1807DD253B30,M,3.0,3.140625
2AD8252C829F,F,5.0,3.9570312
0B1439CE0522,F,3.0,3.6914062
928548A07586,M,3.0,3.21875
BA0C557A52F4,F,2.0,2.3632812
AF2AF8E14196,M,2.0,2.4101562
8451B8C046C3,F,3.0,2.2441406
1FC7106860A2,M,4.0,4.4804688
2275D39DC5AD,M,2.0,2.3867188
A6EBC95CB162,F,5.0,5.1015625
DD627EE5CB27,M,3.0,2.6757812
E7C5E12F4E84,F,3.0,2.9570312
58EB875E2FB8,M,2.0,1.8447266
FAE25123869F,F,2.0,1.9580078
7463CFA4BF4B,M,2.0,1.5644531
2F3A03CE8035,M,5.0,4.796875
1907A263B30B,M,3.0,3.9238281
163E5475BF19,F,2.0,2.0390625
F413F750773D,F,1.0,1.7705078
E5CFC05647BA,F,3.0,3.3457031
61BABBBB9822,M,2.0,1.7880859
F8FFE84D9E9E,F,3.0,3.2480469
39DA395A5C1C,M,1.0,2.6855469
E743F9AC8BBE,M,3.0,3.8984375
A950C6EE7BD3,M,3.0,3.3925781
4CFC9FAB45B8,M,3.0,3.8066406
33B1D3B931EF,M,3.0,2.3476562
3D5AB2F50025,F,3.0,3.2871094
3584B5CAA2E4,F,5.0,5.15625
60B0AC857093,M,5.0,4.0273438
350B830D59EE,F,3.0,2.8613281
4354903A1D8A,M,4.0,4.2929688
13154AD7E3C6,F,3.0,2.78125
69881464230,F,4.0,5.125
165C6F67BCD7,M,3.0,3.578125
