essay_id_comp,gender,holistic_essay_score,y_pred_tfidf,y_pred_bert,y_pred_chatgpt_zeroshot,y_pred_chatgpt_fewshot
4DB288A785E1,F,3,,,,
65A5F773983F,F,2,,,,
16732FC08C66,F,3,,,,
4E2D058C025D,F,2,,,,
FE9C4B960A19,M,4,,,,
ABFAFA80AE82,M,3,,,,
40936430B82D,F,3,,,,
8CB99587A792,F,4,,,,
62CA2951FB9B,M,3,,,,
F2C9CE519B33,F,3,,,,
A7AF38D7EB8F,M,1,,,,
34AF94722281,M,5,,,,
A803172BF35E,F,2,1.9382211713628847,2.1875,2.0,
96E39BA9AA99,M,3,,,,
0873F94DA728,F,3,,,,
7FCE66C7AC11,F,2,,,,
B6428F6EB5F3,F,3,3.663050280292999,3.3085938,3.0,5.0
E0E527C91133,F,4,,,,
2E7E82444228,F,3,,,,
0771C85FC76B,M,5,4.913292116800326,4.9960938,4.0,
417CEC19CAD5,F,2,,,,
854D3B5742D1,F,2,,,,
D2C3D90E5C79,M,2,,,,
9F73A77C612F,F,2,,,,
58F2F77D8FD6,M,4,,,,
BDA93024CF81,M,2,,,,
F57F78783064,M,2,,,,
DC8AAA60667C,F,4,,,,
EB51FF23A9FE,M,3,,,,
58D4330D6F28,M,2,,,,
F8FFE84D9E9E,F,3,3.5333706760524017,3.2480469,3.0,
A1DE6431B26F,M,2,,,,
E9CB9F4AFB04,F,4,,,,
ABA8A01BB2B6,M,3,3.3482657781107137,2.7109375,2.0,
F13486021395,M,2,2.4018351384534875,2.0429688,2.0,
9788FF5FBA3B,M,2,2.5229078815720736,2.4863281,2.0,
B4D69395EE8C,M,3,,,,
A157CD4FC4C8,F,1,,,,
CFED32B6596D,M,3,,,,
F2689DE81EC2,F,2,,,,
73769C2D4519,M,4,,,,
1BDDBCF9B071,M,3,,,,
93203D30E46D,F,3,,,,
D783329C3195,F,3,,,,
09566B218BB7,M,3,,,,
4FBDC31F3607,M,3,,,,
DD815F136494,F,3,,,,
CF20C9C05B19,M,2,2.286001642200453,3.0996094,3.0,
B05BB65D7544,M,5,,,,
46607966C5C2,M,2,,,,
91AF8A6D94F9,F,2,,,,
9A2E34074789,M,1,,,,
577D6C7F59C6,F,4,,,,
6E18981CEAAD,F,4,,,,
61AF8A85A48C,M,2,,,,
4A2B8999223F,M,3,2.5506329309017564,2.3164062,3.0,
63505584F864,F,3,,,,
501C158D09CC,M,3,,,,
E97D24AC0CB6,M,3,3.989620101323085,3.6816406,3.0,
86D7A5AD7C96,F,3,,,,
C27C0E9B5C18,F,3,,,,
4D60807BC303,M,3,,,,
DC4CDCB87CC9,M,2,,,,
4DB034BFB641,M,2,,,,
7B83C24D6069,M,4,,,,
E47912C887CA,F,3,,,,
6C2198B70719,F,3,,,,
16364DA86C3D,F,3,,,,
547FAEEA4126,F,3,2.6025036155287804,2.7695312,3.0,
2450993EB016,F,1,1.5482345361226593,1.2421875,2.0,
7B9DF5C4ADBD,F,3,,,,
62B1B3D9B3ED,F,2,,,,
5BEB7EE5A93F,M,2,,,,
43A31088BEDF,M,2,,,,
42995176A9C0,M,5,,,,
5C7ADE4CBDE6,M,2,,,,
F280DC36C974,F,2,2.494121888367937,1.8554688,2.0,
76BB36EE4398,F,5,4.44071649117657,5.2460938,4.0,
CB2D608AA358,F,2,,,,
7778EC084C56,M,3,,,,
29577A60EA8B,M,3,,,,
36F89CC566E6,F,2,,,,
2137DFD01A9A,F,2,,,,
22B559FB5DFB,F,2,,,,
B0DB49483D7C,M,3,,,,
EB16CE75258A,M,6,,,,
C60B2BD410BD,F,3,,,,
B3A71739C324,F,3,,,,
A4C8F2209991,M,2,,,,
ECE1DAD2A886,F,4,,,,
1B47AFB3E7AC,F,2,,,,
6B648AFC9FCF,M,2,,,,
B24560CD0812,F,2,,,,
509993A7B1CD,F,3,,,,
CC11E0190A6E,M,3,,,,
56315797535A,M,3,,,,
94E443A23E03,M,2,,,,
0581A6F4E804,M,3,,,,
11A105CDB497,M,5,,,,
D84737B6CDEB,F,2,2.720721610947055,2.7148438,3.0,
D3F5104B809F,M,3,,,,
9FC785883184,F,5,,,,
B9B5EC82396D,F,3,3.418983080946669,2.6914062,3.0,
29DEA3E5DA18,M,4,3.0170100786042826,3.1464844,3.0,
70954F3B8FBC,F,3,,,,
58E2742E0950,F,4,,,,
A46EAAB63CD6,M,2,,,,
4A5297AE5BB8,M,3,,,,
497E63C46A84,M,3,,,,
79F319143CA6,M,3,,,,
7F61AD56DC7C,M,2,,,,
0793BF0DEBDF,M,3,,,,
20E2F706EA2C,F,2,,,,
9F9C9D1E2F5C,M,5,3.7200255109146703,3.8457031,3.0,
2A11D62ACDDA,M,2,,,,
DC66147D4EFD,M,2,,,,
CAB752D5239B,F,2,,,,
971D470138C0,F,4,,,,
B448777FA565,M,3,,,,
7C292E2460D5,F,4,,,,
0A9427BC5C80,M,2,,,,
75818DBD4DA2,F,1,,,,
3D93701B4E8D,F,2,,,,
72463404607,F,4,,,,
2261851C7EB7,M,3,,,,
6F6F90FF64F5,F,6,,,,
5678FA78260F,F,5,,,,
F048B3381F8C,M,2,3.118361285621087,2.5683594,3.0,
3A748C1D650A,F,3,,,,
7E26851E8EA9,M,3,,,,
249DCA075281,M,3,,,,
D64890E3947B,M,3,,,,
2FE7098FEF58,F,2,,,,
7091F3705B94,M,2,,,,
DFB8926469DE,F,2,,,,
EE124B50538D,F,2,,,,
304F363557F4,M,3,,,,
86ADA132EC8A,M,2,1.6105268461264577,2.2753906,2.0,
01B52B1D14F8,M,2,,,,
0EFC10AF9D22,F,2,2.684096533699161,2.0546875,3.0,
425B6E662EE5,M,2,,,,
CFCA2A951F8C,M,3,,,,
FFC88C06EFF6,F,2,,,,
4E54C66134CE,M,2,,,,
A50A8869E1F2,M,3,,,,
CDF78535A699,M,1,,,,
4882C3AEFB04,F,3,,,,
58ED581D8B93,M,4,,,,
C5A37127657D,F,1,,,,
86FD29FA8938,F,2,,,,
39FB33F80F55,M,2,,,,
7DB96C996188,F,4,,,,
E25288519486,F,2,,,,
8F73970DB1E0,M,2,,,,
C1E2F0C453B3,F,2,,,,
5AB376A4D408,M,1,,,,
DD627EE5CB27,M,3,3.5153256754953857,2.6757812,2.0,
E75EBEC4C1FE,M,2,,,,
1C9693E27251,M,3,,,,
2CC445B54C45,F,3,,,,
31465D2CACDF,M,6,,,,
FC1196671EE9,F,3,,,,
3DB1BD9129DB,M,3,,,,
62927C04AF56,M,3,,,,
7122E7C97417,F,4,,,,
04B0A49C668B,F,3,,,,
F13CB30C118B,F,3,,,,
16B47CE3BEBB,M,2,,,,
12F6CA9D6104,F,3,2.480888368506109,2.8789062,3.0,
D2477622E86A,F,2,,,,
7C9D60A698B4,M,3,,,,
5547DA513B3E,M,2,,,,
BA2749EB7041,M,2,,,,
A7973A28ED05,M,2,,,,
8C72937FEEAF,F,2,,,,
BAF1A52A5380,F,4,,,,
E4EC09FBBC69,F,3,,,,
312C67D3E8B1,M,3,,,,
62CB982F7C91,F,2,,,,
69C14FD07D1E,F,2,2.1251471000910214,2.3691406,3.0,
1303E2054A57,F,1,,,,
9EAD1B4831C7,F,2,,,,
82223F37DDCC,F,3,,,,
17759DF663A3,F,3,3.3911235119035896,3.0488281,4.0,
BDDE34DAF883,F,4,4.168669078650991,3.6152344,3.0,
95143E5A37A2,M,2,2.768809026465477,2.1777344,3.0,
20D486094385,F,4,,,,
F98C8AAA5BE3,F,4,,,,
44442D65C858,F,3,,,,
041C8CA04C08,F,2,,,,
B0A08E744DF1,F,3,3.1786798605752677,2.9082031,3.0,
DA1152F234BB,F,3,,,,
ABFC17C39354,M,2,,,,
3DEC0A8930E9,F,6,,,,
CE0BD510CEA7,M,1,,,,
ED7F7B6E4C8E,F,3,,,,
E8301922006D,M,2,,,,
82721F205A18,F,2,,,,
836FA0B194DC,M,3,,,,
A4FD67097CFD,F,4,,,,
148DDBA241DA,M,2,,,,
384D9E9B4369,F,3,,,,
5CCC65F4BAFD,M,3,,,,
ED29FC920FF3,M,3,,,,
2410D609BA60,M,2,1.977599668880448,1.9121094,2.0,
E04DC60DB4F5,M,4,,,,
453782F3E15C,M,2,1.9574268768594472,1.7441406,2.0,
CD40D08B4CFA,M,2,,,,
92619C73ADDF,M,3,,,,
5E98AE1FEA8E,F,2,1.783249800922979,1.9619141,2.0,
51CCAD86D2F2,M,3,,,,
8E516CABD84A,M,4,3.4519150220167343,3.7480469,3.0,
CF7A05E94819,F,2,,,,
D2887A8C6CE2,M,3,,,,
75B0089FBE2D,F,2,,,,
1A4194E02D4E,F,3,,,,
A1402442C923,F,1,,,,
2252B166CE0D,F,3,,,,
C3DCDC5B8436,M,3,,,,
F446160DB4C1,M,4,,,,
89EE36DCF117,M,1,0.6041579917576984,1.375,2.0,
53EAE8EA05E8,F,3,2.532940204603507,3.125,3.0,
E494B619E3EF,F,4,4.373170777962958,4.1757812,3.0,
8A2B79514820,M,3,3.117153247343615,3.0859375,3.0,
0C710606DB95,M,3,2.6105592801354454,2.6210938,2.0,
CED5018A9E80,F,5,,,,
DC5BBE514ECE,M,3,2.9742048393815983,2.4902344,3.0,
E72093FC00DD,M,2,,,,
CC60F13D7713,F,1,,,,
96A40426A413,M,2,,,,
8451B8C046C3,F,3,2.351607690021785,2.2441406,2.0,
988D787A291E,M,2,,,,
F5EFD4AFB421,M,1,,,,
7CC0BF28036C,M,2,,,,
B4F3E5D8D7D2,M,3,2.872694845177898,2.8984375,2.0,
EEF00FFCB57D,M,5,,,,
675CA464322A,M,3,3.323980692829757,3.4570312,3.0,
CF48D9415493,F,3,,,,
29AF7937889A,F,3,,,,
E60EB5C35194,M,2,2.2364639501035524,2.6347656,2.0,
4E2B21AF8C1D,F,2,,,,
5035895F7826,M,2,,,,
5C7BD98F4B35,F,3,,,,
DF7D4CA4A89E,M,1,,,,
634848B2D08C,F,4,3.221768110330241,3.9882812,3.0,
015BB7DA58EE,M,3,,,,
E21ABDF1E3F2,F,4,4.053322898186936,3.9121094,4.0,
6E1B4AF3CDC3,F,2,,,,
F7DC79932BD6,M,4,,,,
B81FEF759FD2,F,3,,,,
E47B97599CF8,M,3,,,,
949F1FCAE7A6,M,2,2.0962865774761563,1.5849609,2.0,
43E7F29EC341,F,2,,,,
3FD3D46D72B7,M,2,2.818254496285109,2.7207031,2.0,
ACE67A2D4D7C,F,2,,,,
BB7C74DD634F,M,2,2.929623481213964,3.2265625,3.0,
68F6A6DB3E6C,M,2,2.244690072237284,2.0898438,2.0,
77CF3644F240,F,2,,,,
E15F196ED799,M,3,,,,
8A533A6E8808,M,3,3.8069688604842953,2.71875,3.0,
D9682CF8AFBC,F,5,,,,
E62E4E083245,M,3,3.050058028122679,3.6054688,3.0,
325FE13C0550,F,1,,,,
BA5056B8C67C,M,2,,,,
9A2549F2EEC1,F,5,4.094689866199969,4.6171875,3.0,
87ABD416A9CF,M,3,,,,
0CC47B89CFDF,F,4,,,,
FE47325AD93F,M,1,,,,
CFC85AA6EB00,M,5,,,,
07E3071CE217,F,1,,,,
86FFB72A8AE3,M,1,,,,
AB2D3DFD55CD,M,2,,,,
D1A48B024123,F,3,,,,
A65A82E9C85D,M,1,,,,
41C1CA3C7BB3,M,2,,,,
57FE065320AE,F,5,,,,
7D11B660E85D,M,2,,,,
585B6471A19D,F,5,,,,
253D33164BE5,F,3,3.455469337479255,2.96875,2.0,
FFDE8B89BCF1,M,2,,,,
DA486689B3EF,M,3,,,,
8DF2523FD82B,F,5,,,,
13B371557529,F,4,3.2955291897412056,4.5078125,3.0,
65058AFDF42F,M,2,,,,
64551673D7DB,M,3,,,,
9FD63A312A5D,M,3,,,,
6D56A7D16F96,F,2,2.227132254247776,2.7832031,2.0,
A84FCF650361,F,2,2.1715172746056006,1.7890625,2.0,
0F6BC58DCBE0,M,2,2.5831796656178363,2.1933594,3.0,
261410C78D28,F,2,,,,
026FBC564EBC,M,3,3.913754130157969,3.1621094,3.0,
9FCF0C8C83C3,M,3,,,,
3D47BE057E99,F,2,,,,
BFD4AE243C1B,M,3,,,,
CEF6DE090E2B,M,3,,,,
F983201E8CB1,F,2,1.539489671285989,2.3671875,3.0,
95570A90AED0,F,3,3.176344788710404,2.6171875,3.0,
8459600E47B0,F,4,4.440495725414712,4.2539062,3.0,
E05E947C6790,M,3,,,,
A7FE0387BF32,M,2,1.5607293699696216,1.8505859,2.0,
B3B624F3F792,M,3,,,,
3F04A031F539,M,3,,,,
7F99686868BF,M,3,,,,
4354903A1D8A,M,4,3.5915486452574816,4.2929688,3.0,
7411073C7A94,M,2,,,,
163EF655C663,F,2,,,,
FF7CFFBFE0F7,F,2,,,,
5341BDD4026A,F,3,2.1437258779593207,2.6542969,3.0,
42017C1963DB,M,2,,,,
989E5AA1D1FD,F,3,,,,
D5D1E85B3EC4,F,2,,,,
B2EFB184CBFB,M,2,,,,
7654EDDCC0DA,F,3,3.3293525506449217,2.8964844,3.0,
092B61655680,M,3,,,,
18CB06C8F869,M,4,,,,
FF11B4681D78,M,3,,,,
1E39E44DB9BF,F,6,,,,
23C916766386,F,4,,,,
C5E9CD08171C,F,3,,,,
0961B819A4E9,M,2,,,,
4DB817B0DE25,F,5,4.065519990487944,4.3046875,4.0,
EB4630D13606,M,3,,,,
A11D007DBECD,M,3,,,,
6FE630306C0B,F,3,,,,
96BE54D89B5F,F,2,,,,
0C51B8211995,F,4,,,,
B87A278D92A9,M,3,,,,
FE6BF289C08A,M,2,,,,
75A613E09762,F,1,,,,
44D379F60DD2,F,3,,,,
3F224B1AF963,M,5,,,,
F25D992A96B7,M,1,,,,
57D7DA2AC4BB,M,3,,,,
902A59ECB525,F,2,,,,
88284981D34E,F,4,,,,
2FD5E4852667,F,2,1.325856297799335,1.6289062,2.0,
087C967D7D4F,F,2,,,,
38F506B031E1,F,3,,,,
1248C86D1F56,F,1,,,,
606501D4CDA5,F,3,,,,
FBF6DE55FBB7,F,4,,,,
C37F30231EE0,M,3,,,,
81F515606B77,M,4,4.123293939686331,3.7207031,4.0,
E3F7A1AEC7CE,M,3,,,,
497ABA456900,F,4,,,,
95F690CAAE7D,M,2,,,,
D35AF51DD644,F,3,,,,
C1F2E005F32A,F,3,,,,
0B528598FD8B,F,3,,,,
2E9B5CD4716D,M,2,3.393751223037666,2.484375,2.0,
79C4A541FCDC,F,2,,,,
9C488536A51B,F,3,,,,
449217B9C0F5,F,3,,,,
6FB8D75F09A3,M,5,,,,
D3B5E0743515,M,3,,,,
AF2AF8E14196,M,2,2.484781052539362,2.4101562,2.0,
3EAFD5EF3E21,F,1,,,,
F95D5E35B4C1,M,4,,,,
289414C57E09,M,4,,,,
E90C38838F04,M,2,,,,
CF5875628D6A,M,2,2.1065051189462936,1.9443359,3.0,
2B5560516314,F,2,,,,
DBF4A7FBD000,F,4,,,,
3936CD2D8CF3,F,2,2.2600567648787595,2.0976562,3.0,
13F6D15AE96D,F,3,,,,
3854E6195F67,M,2,,,,
FB9569BDE4BB,M,3,,,,
6C8029E04B6B,F,3,1.8513915116604185,2.5839844,3.0,
1B5788BEB414,F,4,,,,
0D89C8189022,F,2,,,,
FEB37659C3F1,M,3,3.725090100420717,2.7382812,3.0,
1D8018A28D04,M,2,,,,
F0BF1449FA2E,F,3,,,,
A843CBE1B1EF,F,5,,,,
97249F8DF48F,F,3,,,,
22E8627A3CB9,M,2,,,,
F8CD685F9B8C,F,5,,,,
287E96E82C34,F,3,,,,
049B62690A5E,M,2,,,,
59B20B627F41,F,1,,,,
0C5C2E05A868,M,2,,,,
5F897C00DB43,F,4,,,,
714651DE19D4,F,3,,,,
27D996B5A7C0,F,3,,,,
C0E8831116C3,M,6,5.087358283834085,4.9609375,4.0,
C2D8F1B0A984,M,2,,,,
070ACB7C06F4,M,4,,,,
19AA537480D4,F,3,,,,
A8A25F94F5B6,M,2,,,,
016A5550CAF7,F,3,3.6219992930152234,4.25,3.0,
7A3A7759421C,M,2,,,,
F9E6665D7693,F,2,,,,
B4E66720F61F,M,2,,,,
2B2D470DD5A2,F,3,,,,
EFFD8A57686B,M,2,,,,
EB7944FDAF63,F,5,,,,
974FC194F049,F,3,,,,
0AF5343C0F78,F,3,,,,
10F1ACB5559E,M,3,,,,
07A12900C4A6,M,3,,,,
55792E29E3A0,M,1,1.651312102885378,1.8662109,2.0,
BFAAF0DA69B8,M,4,,,,
905F9E86DE5F,M,5,,,,
75DD5C0C5050,F,2,,,,
1F2B26DEF4B4,M,2,,,,
DDFC1E7E2D8E,F,2,,,,
6907A336C38F,F,2,,,,
B27DD0B12E19,F,3,2.9488585992251206,3.3164062,3.0,
9768655A7400,M,2,,,,
DB4AA9C5B389,M,2,,,,
121DCFFBC671,M,5,4.273926408293873,4.7890625,3.0,
D0575217E6D0,M,5,,,,
16ED1E19CD0B,F,3,,,,
C295C3018962,M,2,,,,
23968A5EA064,F,3,,,,
42320FFF7304,F,3,3.639052917599161,3.5859375,4.0,
2A998AD42583,M,4,,,,
41553A472563,M,5,,,,
632394A79A29,F,3,,,,
67D94C292D8D,F,2,2.1076586971085827,2.1152344,3.0,
FC27ECB471A4,M,2,2.1463931377627032,2.3886719,2.0,
1134E5131492,F,3,,,,
A143BE759AD2,M,4,,,,
D9E2B14DEF39,M,2,,,,
56CA92EE1B0A,M,3,2.6626601085093786,3.0957031,2.0,3.0
B99F3DFB644E,F,1,,,,
68FA8E38F667,F,2,,,,
9A663F9C7C49,M,3,,,,
B24B2CA13899,M,3,,,,
DDBEF6D1B2C7,F,5,,,,
E90DC0CBE28E,F,3,,,,
8E0FEEC3DF47,M,3,3.1680713011362456,3.3066406,2.0,
1BB48664CC6A,M,1,,,,
711483807C59,M,2,,,,
FA494D98D9F9,M,3,,,,
B332BF8E25FF,F,4,,,,
DC9580266A0B,M,3,3.0152903813499283,2.7597656,2.0,
61BE35FB4D88,M,1,,,,
5EEA3BC97307,M,4,,,,
62C8CACA3CD3,M,3,,,,
9C0B44764ED8,M,2,,,,
7E95C01172E4,M,1,,,,
70F8687E59CC,F,2,,,,
49CC4EA5F3AF,F,4,2.838327316112237,3.2773438,3.0,
BE8615F85409,M,4,4.362808148273027,3.8535156,3.0,
F43C0704F513,F,1,,,,
1EE05F854764,F,3,,,,
494A7909D20A,M,3,,,,
01612EE431CC,M,2,,,,
553D71555004,F,3,,,,
15C47E28278D,M,2,,,,
C3AD2ABD5D03,F,2,1.8532891921798549,2.3808594,2.0,
6D107CBF4BA7,M,4,,,,
8439B0D3B7DC,M,2,,,,
BA044B9BE4BF,M,3,,,,
50D262EA8ADB,M,4,,,,
BF86E37ABB2A,F,4,4.07715478881158,3.7578125,2.0,
B9E26FE6A3D7,M,2,,,,
A34B33AEC0E3,F,2,,,,
0E08E902861B,F,2,,,,
25A3525957E5,M,3,,,,
F4DB6C7A51BA,F,3,,,,
1EF99E72B0AE,F,2,,,,
950B2DB2D8B8,M,2,,,,
EE3B284C78F0,F,3,,,,
B371C925A2B2,F,3,,,,
39DA395A5C1C,M,1,2.5402383527447308,2.6855469,2.0,
A2F58A334981,F,6,,,,
D89D0B91B0AE,M,3,,,,
BD65AB002E66,F,4,,,,
0B3AF801DF31,F,3,,,,
960A29BE1E4E,F,3,,,,
53E6A71823D3,F,3,,,,
86A3A166AA67,F,2,2.4389687910444846,2.40625,2.0,
D7E3E2DE0F87,M,3,3.100025422788531,2.6796875,2.0,
4AFD2D26EB3E,M,2,,,,
9FB2D4DF0972,M,3,,,,
086E19FCFB39,M,5,,,,
9DFECC3D6D24,F,6,,,,
E2F7AC32660E,F,2,,,,
300FF3D97F1C,F,1,,,,
B5CE3C6DAAD9,M,4,3.441243549710512,3.1601562,2.0,
49E85AF686E1,F,4,,,,
5F3345B72316,M,2,,,,
C8D0CC58A9CB,M,3,,,,
CE0B922605A6,M,3,,,,
